namespace	accession	name	description
CAZY	GH43_e327	dbCAN-sub cluster GH43_e327	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e429	dbCAN-sub cluster GH43_e429	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e52	dbCAN-sub cluster GH43_e52	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e532	dbCAN-sub cluster GH43_e532	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e79	dbCAN-sub cluster GH43_e79	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e84	dbCAN-sub cluster GH43_e84	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH51_e0	dbCAN-sub cluster GH51_e0	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH51_e1	dbCAN-sub cluster GH51_e1	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH51_e19	dbCAN-sub cluster GH51_e19	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH51_e26	dbCAN-sub cluster GH51_e26	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH51_e31	dbCAN-sub cluster GH51_e31	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH51_e34	dbCAN-sub cluster GH51_e34	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH51_e35	dbCAN-sub cluster GH51_e35	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH51_e36	dbCAN-sub cluster GH51_e36	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH51_e47	dbCAN-sub cluster GH51_e47	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH51_e51	dbCAN-sub cluster GH51_e51	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH51_e65	dbCAN-sub cluster GH51_e65	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH54_e0	dbCAN-sub cluster GH54_e0	dbCAN-sub eCAMI cluster of CAZy family GH54.
CAZY	GH62_e0	dbCAN-sub cluster GH62_e0	dbCAN-sub eCAMI cluster of CAZy family GH62.
CAZY	GH62_e1	dbCAN-sub cluster GH62_e1	dbCAN-sub eCAMI cluster of CAZy family GH62.
CAZY	GH62_e9	dbCAN-sub cluster GH62_e9	dbCAN-sub eCAMI cluster of CAZy family GH62.
CAZY	GH119_e2	dbCAN-sub cluster GH119_e2	dbCAN-sub eCAMI cluster of CAZy family GH119.
CAZY	GH13_e124	dbCAN-sub cluster GH13_e124	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e13	dbCAN-sub cluster GH13_e13	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e139	dbCAN-sub cluster GH13_e139	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e143	dbCAN-sub cluster GH13_e143	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e146	dbCAN-sub cluster GH13_e146	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e160	dbCAN-sub cluster GH13_e160	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e172	dbCAN-sub cluster GH13_e172	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e173	dbCAN-sub cluster GH13_e173	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e18	dbCAN-sub cluster GH13_e18	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e183	dbCAN-sub cluster GH13_e183	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e19	dbCAN-sub cluster GH13_e19	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e205	dbCAN-sub cluster GH13_e205	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e206	dbCAN-sub cluster GH13_e206	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e23	dbCAN-sub cluster GH13_e23	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e240	dbCAN-sub cluster GH13_e240	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e245	dbCAN-sub cluster GH13_e245	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e248	dbCAN-sub cluster GH13_e248	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e25	dbCAN-sub cluster GH13_e25	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e302	dbCAN-sub cluster GH13_e302	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e303	dbCAN-sub cluster GH13_e303	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e307	dbCAN-sub cluster GH13_e307	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e329	dbCAN-sub cluster GH13_e329	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e34	dbCAN-sub cluster GH13_e34	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e345	dbCAN-sub cluster GH13_e345	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e346	dbCAN-sub cluster GH13_e346	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e348	dbCAN-sub cluster GH13_e348	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e354	dbCAN-sub cluster GH13_e354	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e380	dbCAN-sub cluster GH13_e380	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e381	dbCAN-sub cluster GH13_e381	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e386	dbCAN-sub cluster GH13_e386	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e387	dbCAN-sub cluster GH13_e387	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e389	dbCAN-sub cluster GH13_e389	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e406	dbCAN-sub cluster GH13_e406	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e409	dbCAN-sub cluster GH13_e409	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e413	dbCAN-sub cluster GH13_e413	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e419	dbCAN-sub cluster GH13_e419	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e42	dbCAN-sub cluster GH13_e42	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e443	dbCAN-sub cluster GH13_e443	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e446	dbCAN-sub cluster GH13_e446	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e462	dbCAN-sub cluster GH13_e462	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e465	dbCAN-sub cluster GH13_e465	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e47	dbCAN-sub cluster GH13_e47	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e484	dbCAN-sub cluster GH13_e484	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e486	dbCAN-sub cluster GH13_e486	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e491	dbCAN-sub cluster GH13_e491	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e493	dbCAN-sub cluster GH13_e493	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e497	dbCAN-sub cluster GH13_e497	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e5	dbCAN-sub cluster GH13_e5	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e500	dbCAN-sub cluster GH13_e500	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e61	dbCAN-sub cluster GH13_e61	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH14_e6	dbCAN-sub cluster GH14_e6	dbCAN-sub eCAMI cluster of CAZy family GH14.
CAZY	GH57_e11	dbCAN-sub cluster GH57_e11	dbCAN-sub eCAMI cluster of CAZy family GH57.
CAZY	GH57_e15	dbCAN-sub cluster GH57_e15	dbCAN-sub eCAMI cluster of CAZy family GH57.
CAZY	GH57_e30	dbCAN-sub cluster GH57_e30	dbCAN-sub eCAMI cluster of CAZy family GH57.
CAZY	GH57_e63	dbCAN-sub cluster GH57_e63	dbCAN-sub eCAMI cluster of CAZy family GH57.
CAZY	GH13_e113	dbCAN-sub cluster GH13_e113	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e122	dbCAN-sub cluster GH13_e122	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e221	dbCAN-sub cluster GH13_e221	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e234	dbCAN-sub cluster GH13_e234	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e250	dbCAN-sub cluster GH13_e250	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e276	dbCAN-sub cluster GH13_e276	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e347	dbCAN-sub cluster GH13_e347	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e392	dbCAN-sub cluster GH13_e392	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH31_e102	dbCAN-sub cluster GH31_e102	dbCAN-sub eCAMI cluster of CAZy family GH31.
CAZY	GH31_e177	dbCAN-sub cluster GH31_e177	dbCAN-sub eCAMI cluster of CAZy family GH31.
CAZY	GH31_e22	dbCAN-sub cluster GH31_e22	dbCAN-sub eCAMI cluster of CAZy family GH31.
CAZY	GH31_e39	dbCAN-sub cluster GH31_e39	dbCAN-sub eCAMI cluster of CAZy family GH31.
CAZY	GH31_e41	dbCAN-sub cluster GH31_e41	dbCAN-sub eCAMI cluster of CAZy family GH31.
CAZY	GH31_e42	dbCAN-sub cluster GH31_e42	dbCAN-sub eCAMI cluster of CAZy family GH31.
CAZY	GH31_e56	dbCAN-sub cluster GH31_e56	dbCAN-sub eCAMI cluster of CAZy family GH31.
CAZY	GH31_e7	dbCAN-sub cluster GH31_e7	dbCAN-sub eCAMI cluster of CAZy family GH31.
CAZY	GH31_e73	dbCAN-sub cluster GH31_e73	dbCAN-sub eCAMI cluster of CAZy family GH31.
CAZY	GH31_e78	dbCAN-sub cluster GH31_e78	dbCAN-sub eCAMI cluster of CAZy family GH31.
CAZY	GH31_e82	dbCAN-sub cluster GH31_e82	dbCAN-sub eCAMI cluster of CAZy family GH31.
CAZY	GH4_e14	dbCAN-sub cluster GH4_e14	dbCAN-sub eCAMI cluster of CAZy family GH4.
CAZY	GH4_e6	dbCAN-sub cluster GH4_e6	dbCAN-sub eCAMI cluster of CAZy family GH4.
CAZY	GH63_e1	dbCAN-sub cluster GH63_e1	dbCAN-sub eCAMI cluster of CAZy family GH63.
CAZY	GH97_e22	dbCAN-sub cluster GH97_e22	dbCAN-sub eCAMI cluster of CAZy family GH97.
CAZY	GH13_e108	dbCAN-sub cluster GH13_e108	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e130	dbCAN-sub cluster GH13_e130	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e165	dbCAN-sub cluster GH13_e165	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e180	dbCAN-sub cluster GH13_e180	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e278	dbCAN-sub cluster GH13_e278	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e300	dbCAN-sub cluster GH13_e300	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e315	dbCAN-sub cluster GH13_e315	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e349	dbCAN-sub cluster GH13_e349	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	GH13_e94	dbCAN-sub cluster GH13_e94	dbCAN-sub eCAMI cluster of CAZy family GH13.
CAZY	CE1_e20	dbCAN-sub cluster CE1_e20	dbCAN-sub eCAMI cluster of CAZy family CE1.
CAZY	CE1_e4	dbCAN-sub cluster CE1_e4	dbCAN-sub eCAMI cluster of CAZy family CE1.
CAZY	CE12_e45	dbCAN-sub cluster CE12_e45	dbCAN-sub eCAMI cluster of CAZy family CE12.
CAZY	CE4_e262	dbCAN-sub cluster CE4_e262	dbCAN-sub eCAMI cluster of CAZy family CE4.
CAZY	CE4_e58	dbCAN-sub cluster CE4_e58	dbCAN-sub eCAMI cluster of CAZy family CE4.
CAZY	CE5_e24	dbCAN-sub cluster CE5_e24	dbCAN-sub eCAMI cluster of CAZy family CE5.
CAZY	CE6_e2	dbCAN-sub cluster CE6_e2	dbCAN-sub eCAMI cluster of CAZy family CE6.
CAZY	CE6_e3	dbCAN-sub cluster CE6_e3	dbCAN-sub eCAMI cluster of CAZy family CE6.
CAZY	CE7_e11	dbCAN-sub cluster CE7_e11	dbCAN-sub eCAMI cluster of CAZy family CE7.
CAZY	CE7_e23	dbCAN-sub cluster CE7_e23	dbCAN-sub eCAMI cluster of CAZy family CE7.
CAZY	CE7_e33	dbCAN-sub cluster CE7_e33	dbCAN-sub eCAMI cluster of CAZy family CE7.
KO	K01387	microbial collagenase orthologue	KEGG orthology marker.
PFAM	PF01752	Collagenase, peptidase family M9	Pfam domain marker.
